id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23813186,Studio on Dunkley Square,178738509,Henry,,Ward 115,-33.9308,18.41812,Entire home/apt,950,3,55,2022-11-16,0.94,1,297,16,
23570364,101 Infinity,176159405,Priscilla,,Ward 23,-33.80882,18.47027,Entire home/apt,1571,2,9,2021-01-07,0.15,1,296,0,
24216972,Flatlet in Plattekloof,181021441,Dean,,Ward 1,-33.87736,18.58091,Private room,280,2,53,2022-11-21,0.93,1,58,15,
23816565,La Paix Brise,154279041,HostAgents,,Ward 100,-34.15627,18.8861,Entire home/apt,4500,2,7,2022-07-11,0.14,38,342,3,
24217479,"Design Apt in Lifestyle Area, near Table Mountain",2895415,Gunnar,,Ward 115,-33.93288,18.40852,Entire home/apt,2564,2,99,2022-12-18,1.75,1,271,22,
23571008,Oceans Drift,176162049,Ann,,Ward 61,-34.20568,18.45302,Entire home/apt,8000,12,0,,,1,83,0,
23816748,Blouberg Dune Apartment,178768736,Susan,,Ward 23,-33.80543,18.46938,Entire home/apt,1200,2,2,2019-06-12,0.04,1,1,0,
23578378,Mthly discount! New Garden Apt-  heartofseapoint,1624011,Tessa,,Ward 54,-33.91672,18.38948,Entire home/apt,946,4,31,2022-12-24,0.57,2,287,5,
23822192,Settle into this beautiful mountainview apartment,126241236,Evelyn Yvonne,,Ward 54,-33.91175,18.39197,Entire home/apt,1133,4,10,2022-12-27,0.18,1,332,2,
23587308,Sea Point gem with uncapped fibre,50263237,Chantal,,Ward 54,-33.91217,18.3912,Entire home/apt,1350,4,6,2022-10-04,0.12,1,269,2,
23595236,"Blue Room in Family Home, quiet and safe",24278070,Caroline,,Ward 58,-33.988106,18.471779,Private room,232,5,46,2022-12-16,0.81,3,276,6,
